,Name,Year,Height,Hometown/HS,Team,mu,sigma
290,Destiny Julye,Jr,5'11,"Tehachapi, Ca",Washington,28.8891348562,2.90303693828
291,Emma Calle,Fr,5'11,"Villa Park, Ca",Washington,24.1352846941,4.92146411726
292,Jordan Anderson,Sr,6-0,"Flower Mound, Texas",Washington,29.5755800825,3.03157232021
293,Kara Bajema,R-Fr,6'2,"Lynden, Wa",Washington,27.5447882365,3.16091223611
294,Kimmy Gardiner,Sr,6'1,"Grapevine, Tx",Washington,29.5755800825,3.03157232021
295,Lauren Sanders,Fr,6'4,"Snohomish, Wa",Washington,25.0,8.33333333333
296,Maria Bogomolova,R-Fr,6'1,"St Petersburg, Russia",Washington,25.0,8.33333333333
297,Natalie Anderson,Fr,5'11,"Mercer Island, Wa",Washington,23.0621672275,7.85660953537
298,Natalie Robinson,Fr,5'11,"Mercer Island, Wa",Washington,26.728833067,3.34562804647
299,Samantha  Drechsel,Fr,"6'4""","Bothell, WA/ Maryland",Washington,20.9489741379,4.00981900188
300,Shayne Mcpherson,So,5'6,"Seattle, Wash",Washington,33.5359897064,2.85597206909
301,Tia Scambray,Sr,6'0,"Dana Point, Ca",Washington,25.0,8.33333333333
302,Alex O'Sullivan,Jr,5'10,"Albany, Ca",Saint Mary's,26.6196007613,7.89176111325
303,Alexsa Parker,So,5'8,"Santa Clara, Utah",Saint Mary's,25.0,8.33333333333
304,Aubrey Pitts,So,6'2,"Reno, Nv",Saint Mary's,25.0,8.33333333333
305,Emily Bible,Jr,5'9,"Santa Clarita, Ca",Saint Mary's,27.8652683045,3.05874193907
306,Jennifer Laird,Fr,5'11,"San Luis Obispo, Ca",Saint Mary's,22.8352795617,4.48996133835
307,Kelsey Knudsen,Fr,,"Santa Clarita, Ca",Saint Mary's,24.774007188,3.46248711662
308,Lindsey Calvin,Jr,6'2,"Visalia, Ca",Saint Mary's,28.5686604063,3.56745760813
309,Lindsey Knudsen,Jr,6'0,"Santa Clarita, Ca",Saint Mary's,27.8652683045,3.05874193907
310,Madi Wilkerson,Sr,5'5,"Midlothian, Tx",Saint Mary's,27.1452162117,3.63373091971
311,Madison Baumann,Fr,6'0,"San Carlos, Ca",Saint Mary's,26.6196007613,7.89176111325
312,Mary Hernandez,Sr,5'7,"Long Beach, Ca",Saint Mary's,27.5502148819,3.07352637874
313,Morgan Kendrick,,,,Saint Mary's,28.8942201195,5.11011019427
314,Morgan Hughes,Jr,5'10,"Willows, Ca",Saint Mary's,30.2001064376,3.1400472575
315,Payton Rund,Jr,6'1,"Albany, Ore",Saint Mary's,30.2001064376,3.1400472575
316,Sarah Chase,R-So,6'0,"Campbell River, B.C.",Saint Mary's,27.5502148819,3.07352637874
317,Sienna Young,So,5'11,"Elk Grove, Ca",Saint Mary's,27.8428466881,3.79127939068
318,Allison Kantor,So,6'0,"Mission Viejo, Ca",Santa Clara,26.3199626458,5.96566697206
319,Anna McCreadie,R-So,6'3,"North Bend, Wa",Santa Clara,16.1229481935,6.15992912819
320,Brittany Gillingham,Fr,5'5,"San Jose, Ca",Santa Clara,19.6214554533,6.92577541986
321,Chloe Loreen,Fr,6'0,"Seattle, Wa",Santa Clara,25.0,8.33333333333
322,Erin Reineking,Sr,5'8,"Salinas, Ca",Santa Clara,21.300904258,4.13015052358
323,Forfeit 2,,,,Santa Clara,17.9927584378,7.40194778045
324,Forfeit  1,,,,Santa Clara,15.6968313708,6.85104639236
325,Gretchen Reinert,Fr,5'6,"Dove Canyon, Ca",Santa Clara,9.98422694717,4.93250116865
326,Hailey Lindberg,Jr,6'1,"Danville, Ca",Santa Clara,16.4409956648,5.14505107348
327,Kathryn Decker,Fr,6'3,"Portland, Or",Santa Clara,25.0,8.33333333333
328,Kristen Mead,Sr,5'11,"Palo Alto, Ca",Santa Clara,15.7127382698,5.10499828569
329,Laura Willems,So,6'0,"Parker, Colo",Santa Clara,25.0,8.33333333333
330,Michelle Gajdka,So,5'8,"San Francisco, Ca",Santa Clara,21.5543225657,4.10905238005
331,Ngozi Nwabuzoh,So,5'10,"Stockton, Ca",Santa Clara,19.8096402217,4.4466026604
332,Tatiana San Juan,Sr,5'7,"Emerald Hills, Ca",Santa Clara,20.2473266684,4.4637591181
333,Taylor  Odom,R-So,6'2,"Bellevue, Wa",Santa Clara,13.2270479508,4.57756947535
334,Tessie Powers,So,5'10,"Aptos, Ca",Santa Clara,22.3163173386,4.39018759905
335,Alexis Filippone,Fr,6'2,"Del Mar, Ca",Pepperdine,37.3080877927,3.35149424002
336,Anika Wilson,Jr,5'9,"Santa Barbara, Ca",Pepperdine,25.0,8.33333333333
337,Brook Bauer,Fr,6'1,"Fort Lauderdale, Fl",Pepperdine,36.0216253913,2.71964394522
338,Corinne Quiggle,Sr,5'10,"Ponte Vedra Beach, Fl",Pepperdine,35.8029021762,3.03548915386
339,Deahna Kraft,So,6'0,"Seattle, Wa",Pepperdine,35.8029021762,3.03548915386
340,Gigi Hernandez,So,5'10,"Dana Point, Ca",Pepperdine,34.812813162,2.76912900586
341,Heidi Dyer,Jr,6'2,"San Clemente, Ca",Pepperdine,34.812813162,2.76912900586
342,Jordan Ferrari,So,6'1,"Mission Viejo, Ca",Pepperdine,22.3959958353,6.0332900331
343,Kaity Bailey,Jr,6'2,"Ojai, Ca",Pepperdine,21.1801927708,6.68182378214
344,Katie Gavin,Fr,5'8,"Laguna Beach, Ca",Pepperdine,29.0579732729,6.53691250223
345,Madalyn Roh,Jr,5'11,"Scottsdale, Az",Pepperdine,36.0216253913,2.71964394522
346,Maddie Dilfer,Sr,5'11,"Saratoga, Ca",Pepperdine,29.5761883899,3.16045352129
347,Nikki Lyons,Jr,6'2,"Fort Lauderdale, Fl",Pepperdine,33.8496836643,3.24029072622
348,Shannon Murphy,Fr,6'1,"Friendswood, Tx",Pepperdine,25.0,8.33333333333
349,Skylar Caputo,Jr,5'10,"Manhattan Beach, Ca",Pepperdine,37.3080877927,3.35149424002
350,Aeryn Owens,Jr,6'0,"Alta Loma, Ca",Cal State Northridge,26.9229568931,3.65579463897
351,Autumn  Russell,Sr,5'11,"Paso Robles, Ca",Cal State Northridge,24.3030283928,3.48160430591
352,Cassidy Rosso,So,6'0,"La Crescenta, Ca",Cal State Northridge,21.3378067401,7.1875604979
353,Daniella Molinari,So,6'2,"Pompano Beach, Fl",Cal State Northridge,22.7170444609,3.50013267568
354,Erin Indermill,Jr,5'6,"Santa Clarita, Ca",Cal State Northridge,21.6210439784,3.60247184541
355,Katie Sato,Sr,5'6,"Calabasas, Ca",Cal State Northridge,26.9229568931,3.65579463897
356,Kristey Markle,Jr,5'9,"Trabuco Canyon, Ca",Cal State Northridge,22.6709831634,3.57305090519
357,Lauren McMurray,Fr,5'10,"Phoenix, Az",Cal State Northridge,24.0876604744,3.44013495544
358,Lauren Conati,Sr,6'1,"Scottsdale, Az",Cal State Northridge,27.4042421604,3.78037132422
359,Nickeisha Williams,Sr,5'10,"Harbor City, Ca",Cal State Northridge,22.6709831634,3.57305090519
360,Nicolette  Pinkney,Sr,5'11,"Roseville, Ca",Cal State Northridge,27.4042421604,3.78037132422
361,Shawnee De Oliveira,Fr,5'7,"Trabuco Canyon, Ca",Cal State Northridge,26.4092077559,6.69979450359
362,Tori Hiott,Jr,5'9,"Thousand Oaks, Ca",Cal State Northridge,25.0,8.33333333333
363,Allie Havers,Sr,6'5,"Mattawan, Mi",Nebraska,20.8672470605,4.34126541661
364,Anezka Szabo,Fr,6'3,"Sioux Falls, S.D.",Nebraska,23.9620286819,7.98859106481
365,Annika Albrecht,Sr,6'0,"North Aurora, Ill",Nebraska,29.1412888382,3.94356681883
366,Chesney McClellan,Fr,6'4,"Maryville, Tn",Nebraska,19.4062011935,4.96193779578
367,Hayley Densberger,Fr,5'9,"Malcolm, Ne",Nebraska,18.5470310522,4.88454234194
368,Jasmine Schmidt,Fr,6'1,"Parker, Co",Nebraska,20.9004536272,4.34663715359
369,Jazz Sweat,Fr,6'3,"Tecumseh, Kan",Nebraska,21.6844887374,4.19497283594
370,Kashauna Williams,Fr,6'1,"Lancaster, Ca",Nebraska,25.0,8.33333333333
371,Kelly Hunter,Sr,5'11,"Papillion, Neb",Nebraska,24.8270785358,3.95122124838
372,Kenzie Maloney,Jr,5'8,"Louisville, Ky",Nebraska,24.2389969442,3.89614113403
373,Lauren Stivrins,So,6'4,"Scottsdale, Az",Nebraska,26.1264677561,3.96070995747
374,Mikaela  Foecke,Jr,6'3,"West Point, Ia",Nebraska,25.0,8.33333333333
375,Sami Slaughter,Fr,6'1,"Harrisburg, S.D.",Nebraska,23.4148902728,4.20568201748
376,Alexis  Morrow,R-Fr,5'10,"Redwood City, Ca",LMU,25.0,8.33333333333
377,Bozena Culo,So,6'2,"Bjelovar, Croatia",LMU,27.1192431795,2.9103451027
378,Chloe Reinig,GS,6'4,"Howell, Mi",LMU,26.1665159522,3.18167127448
379,Cierra Simpson,GS,6'0,"Colorado Springs, Co",LMU,29.3460292996,4.09308688617
380,Emma Johnson,So,6'0,"Moraga, Ca",LMU,25.0,8.33333333333
381,Emma Doud,So,5'9,"Alameda, Ca",LMU,30.630405547,2.6270744685
382,Jessie Prichard,So,5'9,"Corona, Ca",LMU,28.4148692742,2.70772789082
383,Kekai Whitford,Jr,5'8,"Costa Mesa, Ca",LMU,24.0137867345,3.59043479403
384,Kristen Castellanos,Sr,5'1,"Los Angeles, Ca",LMU,29.3460292996,4.09308688617
385,Maddie  Leiphardt,GS,5'9,"Goleta, Ca",LMU,25.0,8.33333333333
386,McKayla Ferris,GS,6'0,"Geneseo, N.Y.",LMU,29.3819609196,2.79554362546
387,Megan  Rice,So,6'0,"Hermosa Beach, Ca",LMU,25.0,8.33333333333
388,Meredith Teague,Fr,6'2,"Monroe, Wa",LMU,25.0,8.33333333333
389,Morgan Bogust,Fr,5'9,"Thousand Oaks, Ca",LMU,25.0,8.33333333333
390,Paige Panter,So,5'10,"Dallas, Tx",LMU,25.5058092588,8.08377848553
391,Sara Kovac,Jr,6'0,"Niagra Falls, Ontario, Can",LMU,29.4678742346,2.71942874983
392,Savannah  Slattery,So,5'11,"Malibu, Ca",LMU,28.2261524913,2.77451226045
393,Sierra  Bartley,Fr,6'2,"Littleton, Co",LMU,25.0,8.33333333333
394,Veronica Nederend,Jr,5'11,"Tipton, Ca",LMU,28.0394146675,2.88966678251
395,Brindl Langley,R-Sr,5'7,"Camas,Wa",Boise State,22.0776518548,4.63511441473
396,Cassedi Simon,So,5'4,"West Liberty, Iowa",Boise State,21.2333138032,7.54890631931
397,Cat Clemens,Fr,6'0,"Burns, Or",Boise State,25.0,8.33333333333
398,Celine Christensen,So,6'3,"Salem, Utah",Boise State,25.0,8.33333333333
399,Drew Hanneman,Fr,5'5,"Flagstaff, Az",Boise State,21.2333138032,7.54890631931
400,Janell Walley,So,5'11,"Yucaipa, Ca",Boise State,28.4235885134,4.61263836111
401,Jaymee-Lee Bulda,Sr,5'5,"Sacramento, Ca",Boise State,21.8399170445,4.51943989224
402,Jensen Allen,So,5'10,"Brea, Ca",Boise State,28.8904820357,4.45389719074
403,Kenna Hanses,So,6'0,"Renton, Wa",Boise State,15.678174697,5.06528961947
404,Keri Leake,Fr,6'1,"Clovis, Ca",Boise State,25.0,8.33333333333
405,Kiley Lewis,Fr,6'2,"Auburn, Wa",Boise State,29.1295063082,4.56301758037
406,Kylee Johnson,Fr,5'6,"New Braunfels, Tx",Boise State,18.6165783116,4.74430149582
407,Lizzie Wilson,Fr,6'0,"San Diego, Ca",Boise State,25.0,8.33333333333
408,Maddi Osburn,Sr,5'7,"Nampa, Id",Boise State,25.0,8.33333333333
409,Maddie Simon,So,5'4,"West Liberty, Ia",Boise State,25.0,8.33333333333
410,Maya Watkins,Fr,5'9,"Snohomish, Wa",Boise State,20.5975252497,4.88499041192
411,Morginne DeMarco,R-So,5'7,"Bakersfield, Ca",Boise State,25.0,8.33333333333
412,Sabryn Roberts,Jr,5'9,"Torrance, Ca",Boise State,28.4235885134,4.61263836111
413,Sierra Nobley,Sr,6'1,"Scottsdale, Az",Boise State,25.0,8.33333333333
414,Skye Southwick,Jr,5'7,"Cambridge, Id",Boise State,17.41875097,5.24706924788
415,Tiaja McKnight,Jr,6'2,"Los Angeles, Ca",Boise State,25.0,8.33333333333
416,Cali Thompson,R-So,6'0,"Las Vegas, Nv",Portland,19.7675854413,4.91943325101
417,Carey Williams,Fr,5'7,"Kahuku, Hi",Portland,26.5768315594,4.74142360994
418,Emily DeMots,Fr,6'2,"Portland, Or",Portland,25.0,8.33333333333
419,Emma  Scanlan,So,5'7,"Moraga, Ca",Portland,25.0,8.33333333333
420,Hannah  Troutman,Sr,5'10,"Powell Butte, Ore",Portland,25.0,8.33333333333
421,Izzy Guzik,R-Fr,6'0,"San Diego, Ca",Portland,25.0,8.33333333333
422,Kassidy Naone,Fr,5'11,"Kailua, Hi",Portland,17.0588902596,4.9008578458
423,Katie Barker,R-So,6'1,"Los Altos, Ca",Portland,20.6948541167,4.59414494823
424,Kellie Hughes,Fr,5'6,"Livermore, Ca",Portland,17.4762490132,6.76405633231
425,Lauren Naatz,Jr,5'3,"Salt Lake City, Ut",Portland,10.523132234,4.76304867926
426,Liz Reich,Fr,6'1,"Colorado Springs, Co",Portland,19.8922120104,5.74087415042
427,McKenzie Schwan,Fr,5'8,"Auburn, Wa",Portland,14.1340956135,5.18071394365
428,Morgan Robinson,Sr,5'11,"Sunnyvale, Ca",Portland,20.6948541167,4.59414494823
429,Reghan Pukis,Jr,6'1,"Tacoma, Wa",Portland,25.0,8.33333333333
430,Sarah Savoca,Sr,6'1,"Santa Cruz, Ca",Portland,19.2569123203,4.61728866732
431,Tani Stephens,GS,5'8,"Albany, Ore",Portland,25.0,8.33333333333
432,Adlee Van Winden,Jr,6'1,"Napa, Ca",Cal Poly SLO,31.3017276081,3.20403933258
433,Brayden Gruenewald,So,5'9,"Southlake, Tx",Cal Poly SLO,27.0271221812,5.28003711484
434,Dora Beilin,Jr,5'11,"Berkeley, Ca",Cal Poly SLO,25.7043711966,6.94453599869
435,Emily Sonny,So,5'11,"Arroyo Grande, Ca",Cal Poly SLO,33.4630209428,3.40982079613
436,Hannah Hubbard,Sr,5'8,"San Diego, Ca",Cal Poly SLO,31.2586235798,2.81002224269
437,Heather Pembroke,So,5'9,"Chico, Ca",Cal Poly SLO,30.7357964249,2.9373316105
438,Jamie Stivers,Fr,6'2,"Coppell, Tx",Cal Poly SLO,29.8844887041,7.02477547308
439,Jessica  Manley,So,6'0,"Escondido, Ca",Cal Poly SLO,22.114968092,7.38478417008
440,Kassandra Wright,Jr,5'9,"Temecula, Ca",Cal Poly SLO,26.2091065291,7.92846420745
441,Macy Gordon,Fr,5'8,"Paradise Valley, Az",Cal Poly SLO,28.7857256413,2.87131481094
442,Olivia Lee,Fr,6'1,"Tiburon, Ca",Cal Poly SLO,28.5312945454,7.59611054635
443,Peyton Sper,Fr,5'10,"Camarillo, Ca",Cal Poly SLO,25.0,8.33333333333
444,Raeann Greisen,Sr,6'2,"San Diego, Ca",Cal Poly SLO,33.1443249625,2.77079735629
445,Sam Manley,Jr,5'10,"San Diego, Ca",Cal Poly SLO,34.047596048,3.47385255691
446,Sjea Anderson,Fr,5'9,"Scotts Valley, Ca",Cal Poly SLO,28.5312945454,7.59611054635
447,Skyler Spooner,Fr,5'6,"Flower Mound, Tx",Cal Poly SLO,25.0,8.33333333333
448,Taylor Nelson,Sr,6'0,"Granite Bay, Ca",Cal Poly SLO,38.9814638336,3.41412427575
449,Teiana Cataldo,Fr,5'10,"Honolulu, Hi",Cal Poly SLO,25.0,8.33333333333
450,Tessa Tooman,Jr,5'10,"La Jolla, Ca",Cal Poly SLO,25.0,8.33333333333
451,Tia Miric,Fr,5'8,"Ontario, Canada",Cal Poly SLO,31.3395251396,2.95467664316
452,Torrey Van Winden,So,6'3,"Napa, California",Cal Poly SLO,31.3395251396,2.95467664316
453,Anabela Sataric,GS,6'2,"Biberist, Switzerland",FIU,25.6951774658,3.45632971211
454,Ashley Klassen,Fr,5'7,"Tsawwasse, Canada",FIU,25.0,8.33333333333
455,Brooke Bailey,So,5'9,"Tampa, Fl",FIU,25.0,8.33333333333
456,Dorina Klinger,Jr,6'1,"Feldkirchen, Austria",FIU,29.2523921615,3.13594241738
457,Erika Zembyla,R-Jr,6'0,"Nicosia, Cyprus",FIU,30.0133823177,3.0419646263
458,Erin Byrne,Fr,5'11,"San Diego, Ca",FIU,30.4497947225,6.1620545469
459,Estefanie  Bethancourt,Sr,6'0,"Guatemala City, Guatemala",FIU,29.3215321382,2.79772000575
460,Federica Frasca,So,5'9,"Rome, Italy",FIU,32.2550151255,2.94518615747
461,Helene Thelle,So,5'10,"Tolvsrød, Norway",FIU,19.7484733316,7.41160362281
462,Katie Friesen,Jr,5'9,"Manitoba, Canada",FIU,31.8068514883,3.85685641213
463,Lina Bernier,R-So,5'10,"San Juan, Puerto Rico",FIU,26.2235139558,2.8303192588
464,Mackenzie  Walker,So,5'9,"Sarasota, Fl",FIU,26.1142141052,7.94779784142
465,Madison Besterfield,Fr,6'3,"Tampa, Fl",FIU,29.0213406111,3.77307466657
466,Margherita Bianchin,Jr,6'0,"Traviso, Italy",FIU,32.2550151255,2.94518615747
467,Mariana Dal Pozzo,Sr,5'7,"Toledo, Brazil",FIU,30.6740260424,3.12685822917
468,Mariana De Paula Silva,Sr,5'11,"Sao Jose dos Campos, Brazil",FIU,33.4905724929,6.50600196572
469,Natalia Giron,Sr,6'2,"Guatemala City, Guatemala",FIU,29.3215321382,2.79772000575
470,Samantha Lemmon,Fr,5'6,"Boca Raton, Fl",FIU,25.0,8.33333333333
471,Taija Thomas,Sr,6'0,"Scarborough, Ontario, Can",FIU,33.0491109554,2.96771856253
472,Amanda Silva,Jr,5'10,"MaceiA, Brazil",FAU,31.1163386084,2.86656890246
473,Ashlan  Cunningham,Jr,5'6,"Colleyville, Tx",FAU,23.5969440904,5.40319840922
474,Bailey Myott,Fr,5'5,"Boynton Beach, Fl",FAU,25.0,8.33333333333
475,Brittany Pellitteri,Sr,5'7,"Deerfield Beach, Fl",FAU,20.6338562354,3.20109164169
476,Candace Lacour,So,5'8,"Buckeye, Az",FAU,25.0,8.33333333333
477,Carly Scarborough,GS,6'1,"Sarasota, Fl",FAU,21.9545584033,2.93177635172
478,Erica Brok,Fr,5'9,"Ormond Beach, Fl",FAU,30.8720665999,3.30467725311
479,Gabrielle Dischler,Sr,5'9,"Naples, Fl",FAU,29.3728986908,2.77896503602
480,Jazmine Barker,Jr,5'10,"Palm Harbor, Fl",FAU,25.0,8.33333333333
481,Jessalyn Kinlaw,Sr,5'6,"Bradenton, Fl",FAU,29.3728986908,2.77896503602
482,Johannah Cummines,Fr,5'6,"New Port Richey, Fl",FAU,25.0,8.33333333333
483,Julia Lewkowicz,Jr,5'11,"Coral Springs, Fl",FAU,33.7935754608,3.53358529787
484,Kaila Dorish,Fr,5'11,"Royal Palm Beach, Fl",FAU,27.5241019737,2.84159821236
485,Lauren Galinis,So,5'8,"Delray Beach, Fl",FAU,25.0,8.33333333333
486,Mackenzie Morris,Fr,5'10,"Jacksonville, Fl",FAU,28.9246663245,3.39255235902
487,Mazarine Tsuji,Fr,5'8,"Hallandale, Fl",FAU,25.0,8.33333333333
488,Megan McGrath,So,5'10,"Boca Raton, Fl",FAU,29.455557186,7.04784869432
489,Nicole Navarro,Jr,5'7,"Boca Raton, Fl",FAU,24.6300051475,2.86753261655
490,Nicole Grant,Jr,6'0,"Bradenton, Fl",FAU,24.8906487891,3.79361891519
491,Sam Gott,So,5'9,"Loxahatchee, Fl",FAU,21.4928123388,7.50610889231
492,Alex Holt,R-Jr,6'0,"Sacramento, Ca",Pacific,31.4424600721,3.3826747127
493,Andie Shelton,Sr,5'9,"Stockton, Ca",Pacific,17.4745254365,4.05048511877
494,Ashlyn Fleming,So,6'4,"San Jose, Ca",Pacific,21.1004558477,3.64457002087
495,Emily Baptista,So,6'2,"Hilmar, Ca",Pacific,23.6003009302,4.20007462769
496,Hanne De Schrijver,Fr,5'10,"Serskamp, Belgium",Pacific,24.226473339,3.74342617797
497,Kaitlyn Lines,Fr,6'0,"Gilbert, Az",Pacific,16.9791893472,4.33007079928
498,Katrin Gotterba,Sr,5'6,"Stockton, Ca",Pacific,31.4424600721,3.3826747127
499,Maycie LaBass,Sr,6'0,"Modesto, Ca",Pacific,21.7208701036,3.97265760218
500,Olivia Petnicki,So,5'4,"Vacaville, Ca",Pacific,18.8919837866,6.10585860955
501,Roni Long,Jr,5'10,"Porterville, Ca",Pacific,22.4950086403,3.50803250898
502,Skylar Wine,So,6'2,"Phoenix, Az",Pacific,25.7092832434,3.61057065621
503,Taylor Poncetta,Sr,5'11,"San Jose, Ca",Pacific,26.9012456279,3.67904132049
504,Avery Arellano,So,5'10,"Lucas, Tx",TCU,26.0764421254,3.11146382287
505,Brooke Sassin,Sr,6'0,"San Antonio, Tx",TCU,35.0841505434,3.14062383612
506,Cassie House,Sr,6'2,"Rio Rancho, NM",TCU,27.2861326076,2.71097022831
507,Claire Doyle,So,5'10,"Atlanta, Ga",TCU,15.012999039,4.24206150284
508,Hannah Rogers,Fr,5'8,"Santa Ynez, Ca",TCU,25.421655811,2.96842482717
509,Haven Hill,So,5'8,"Ventura, Ca",TCU,27.2861326076,2.71097022831
510,Jaelyn Greene,Jr,5'9,"Mission Viejo, Ca",TCU,25.3830834014,2.79399437123
511,Jensyn Bledsoe,So,5'7,"Pinehurst, Tx",TCU,25.8635707758,2.90898381974
512,Jillian Bergeson,Sr,6'2,"Friendswood, Tx",TCU,25.3830834014,2.79399437123
513,Jordan Terral,Jr,5'6,"Encinitas, Ca",TCU,17.4232785016,6.19597463067
514,Jordan Westendorf,Fr,5'9,"Dallas, Tx",TCU,30.6590135902,2.82094466977
515,Kristy Wieser,Sr,6'2,"Lincoln, Ne",TCU,28.7213815435,4.94351751939
516,Madison Borowski,Jr,5'9,"Austin, Tx",TCU,25.0,8.33333333333
517,Molly Scheel,Jr,5'9,"Phoenix, Az",TCU,29.5266588049,3.02217884965
518,Olivia Canales,Jr,6'1,"Lexington, Ky",TCU,25.0,8.33333333333
519,Abbey Wilson,Fr,5'11,"Albuquerque, N.M.",New Mexico,23.9374012163,3.72639509227
520,Carly Beddingfield,Jr,6'3,"Albuquerque, NM",New Mexico,20.7454075799,3.85748288386
521,Chloe Crappell,Sr,5'7,"Albuquerque, NM",New Mexico,28.5188097407,3.90365946782
522,Eastyn Baleto,Sr,5'8,"Seattle, Wa",New Mexico,26.9628775816,3.58648104991
523,Emily Nenninger,So,5'5,"Albuquerque, N.M.",New Mexico,22.314340237,4.78422345428
524,Erin Martin,Fr,5'7,"Denver, Co",New Mexico,25.4988071138,3.61363229047
525,Hailey Rubino,Fr,5'11,"Leesburg, Va",New Mexico,25.0,8.33333333333
526,Kayla Long,Fr,5'3,"Tucson, Az",New Mexico,18.7055681941,4.00097009668
527,Lauren Twitty,GS,6'1,"Broadlands, Va",New Mexico,26.3700688975,3.68695670585
528,Maddie Irwin,Sr,5'11,"Tucson, Az",New Mexico,25.4988071138,3.61363229047
529,Mercedes Pacheco,,5'2,,New Mexico,17.1981602327,4.20761907186
530,Morgan Schreckler,Fr,6'1,"Phoenix, Az",New Mexico,25.0,8.33333333333
531,Yasmin Tan,Fr,5'11,"Melbourne, Australia",New Mexico,24.9887019543,3.80258179526
532,Blossom Sato,Sr,5'9,"Santa Monica, Ca",Mississippi State,25.0,8.33333333333
533,Emily Hill,Jr,6'6,"Denton, Tx",Mississippi State,25.0,8.33333333333
534,Katie Nicholson,Sr,6'2,"Aledo, Tx",Mississippi State,25.0,8.33333333333
535,Khris Carr,Sr,5'11,"Starkville, Miss",Mississippi State,25.0,8.33333333333
536,Liv Benner,Jr,6'6,"Danville, Ind",Mississippi State,25.0,8.33333333333
537,Sara Maddox,So,6'2,"Leawood, Kan",Mississippi State,25.0,8.33333333333
538,Aeriel Horton,Jr,5'7,"Waxahachie, Tx",Houston Baptist,33.9074813444,3.08207170423
539,Bailey Banks,Sr,5'10,"Missouri City, Tx",Houston Baptist,25.6838306316,2.93924590415
540,Brennan Miller,Fr,5'6,"Claremont, Ca",Houston Baptist,24.2823614875,2.80704551758
541,Danielle Wheeler,So,6'0,"San Diego, Ca",Houston Baptist,24.0907415161,3.16988644384
542,Jessica Wooten,GS,5'11,"Humble, Tx",Houston Baptist,33.9074813444,3.08207170423
543,Jordyn Miller,Fr,5'8,"Phoenix, Az",Houston Baptist,24.3599300656,5.73186555706
544,Kali Fluke,Sr,6'1,"San Antonio, Tx",Houston Baptist,24.6675279097,2.83367668843
545,Katya Silveira,Fr,5'9,"Houston, Tx",Houston Baptist,25.6838306316,2.93924590415
546,Kayla Armer,GS,6'0,"Bradenton, Fl",Houston Baptist,28.6220983613,2.84642295544
547,Madison O'Brien,Jr,5'9,"Cleveland, Tx",Houston Baptist,25.0,8.33333333333
548,Meagan Carter,Fr,5'8,"Bakersfield, Ca",Houston Baptist,22.2622670317,4.59821200699
549,Mikayla Vivens,Fr,"5'9""","San Antonio, Texas/ Warren",Houston Baptist,26.4942404686,3.50363984305
550,Tori Hinojosa,So,5'8,"San Antonio, Tx",Houston Baptist,28.6220983613,2.84642295544
551,Alexa Richardson,So,5'7,"Austin, Tx",Stetson,28.6366665458,3.89378650083
552,Brynn Carrick,Fr,5'8,"Hampstead, N.C.",Stetson,25.0,8.33333333333
553,Carly Perales,So,5'9,"Round Rock, Tx",Stetson,32.5092698924,3.02432508503
554,Caroline Pomet,Jr,5'4,"Lutz, Fl",Stetson,25.0,8.33333333333
555,Darby Dunn,So,6'0,"South Surrey, B.C.",Stetson,32.7472524865,3.06728233488
556,Grace Christiansen,So,5'7,"Lantana, Tx",Stetson,25.0,8.33333333333
557,Julie Varga,So,6'0,"Fredrikstad, Norway",Stetson,26.460252156,3.22043246498
558,Katinka Krahn,So,5'11,"Oslo, Norway",Stetson,28.7868943006,4.04807231762
559,Lauren Durham,Jr,5'5,"Apex, NC",Stetson,33.3621139887,3.32938384493
560,Lexi  Ham,So,5'6,"Scottsdale, Az",Stetson,22.6026937379,7.2423251607
561,Quinci Birker,Fr,5'10,"Kelowna, B.C.",Stetson,29.8129467266,3.01796241
562,Rachel Noble,Jr,5'10,"Carlsbad, Ca",Stetson,31.338765858,2.79381560078
563,Rebecca Ingram,Fr,6'0,"Riverslea, Australia",Stetson,30.9501042441,3.03517103692
564,Samantha Harris,Jr,5'7,"Arlington, Va",Stetson,28.6084199586,2.83314471976
565,Sammee Thomas,Jr,5'7,"Huntington Beach, Ca",Stetson,32.7472524865,3.06728233488
566,Sunniva Helland-Hansen,So,5'8,"Oyeste, Norway",Stetson,32.5092698924,3.02432508503
567,Anna Dalla Vecchia,Fr,,,USF,21.3092382256,4.2399666698
568,Camille Araujo,So,5'7,"Long Beach, Ca",USF,19.3626840441,3.93569292964
569,Carly Lowry,So,5'11,"Tucson, Az",USF,21.7949261906,3.80723141733
570,Emily Zinger,Fr,,"Little Elm, Tx",USF,25.0,8.33333333333
571,Erica Ronda,Fr,,"Chandler, Az",USF,31.0117137289,4.41291393894
572,Erin Anthony,Fr,,"Sugar Land, Tx",USF,25.0,8.33333333333
573,Haley Howell,GS,5'10,"Tucson, Az",USF,21.7949261906,3.80723141733
574,Julia Topor,GS,,,USF,21.3092382256,4.2399666698
575,Kate Ashman,So,6'3,"Cyrpress, Ca",USF,25.0,8.33333333333
576,Laura Leap,Jr,,"Thousand Oaks, Ca",USF,18.279856831,5.95837115826
577,Madelyn LaFollette,Fr,,"Alameda, Ca",USF,25.0,8.33333333333
578,Marjolijn  Oskam,Sr,6'4,"Bussum, Netherlands",USF,25.0,8.33333333333
